date,value,bet,margin,gender,repeated_from
2016-03-30,14860,14500,1500,F,
2016-03-31,17010,15000,500,F,
2016-04-01,27430,21000,1000,M,
2016-04-04,20360,24000,500,M,
2016-04-06,23280,21500,1500,M,
2016-04-07,24880,23000,1000,M,
2016-04-08,15460,15500,500,F,
2016-04-11,13010,12000,2000,M,
2016-04-12,16780,16500,1500,F,
2016-04-14,25640,18000,2000,F,
2016-04-15,16060,13000,1000,M,
2016-04-18,18620,18000,2000,F,
2016-04-19,15830,14500,1000,M,
2016-04-20,17770,20000,500,F,
2016-04-21,10510,10000,1000,M,
2016-04-22,13540,15300,2000,F,
2016-04-25,14940,16500,500,F,
2016-04-27,16690,16500,1000,M,
2016-04-28,10250,9500,1500,M,
2016-04-29,14580,17000,1000,F,
2016-05-02,22630,18000,1500,M,
2016-05-03,16970,16000,500,M,
2016-05-05,28250,21000,2000,F,
2016-05-06,14170,14000,1000,M,
2016-05-09,15060,16000,1500,F,
2016-05-10,13920,14500,1000,M,
2016-05-11,14600,14500,1500,M,
2016-05-12,11500,12500,2000,F,
2016-05-13,23380,19000,1500,F,
2016-05-16,22120,21000,500,M,
2016-05-17,18970,24500,1500,M,
2016-05-18,15610,16000,2000,F,
2016-05-19,21130,21500,1000,M,
2016-05-23,15970,19000,2000,M,
2016-05-24,16580,16000,500,M,
2016-05-25,15180,12500,2000,M,
2016-05-26,10210,10000,1000,U,
2016-05-27,26800,17000,2000,M,
2016-05-30,19930,16500,1000,M,
2016-05-31,23670,17200,500,M,
2016-06-01,15480,17500,1000,M,
2016-06-02,15010,15000,1500,F,
2016-06-03,25840,20000,2000,M,
2016-06-06,20440,13000,1500,F,
2016-06-07,15690,20000,1000,M,
2016-06-08,17300,15300,2000,M,
2016-06-09,9070,11500,1500,F,
2016-06-13,15590,16500,1500,F,
2016-06-15,9570,9500,1500,M,
2016-06-17,17080,17500,1500,F,
2016-06-23,21360,14500,500,M,
2016-06-24,13730,15000,1000,F,
2016-06-28,17890,19000,1000,M,
2016-06-29,14410,12000,2000,F,
2016-07-04,10210,11000,1500,F,
2016-07-05,17880,17500,2000,M,
2016-07-08,23090,17500,500,M,
2016-07-11,22480,16800,2000,M,
2016-07-12,15950,16900,1500,M,
2016-07-13,26720,21500,1500,M,
2016-07-14,19590,18500,500,M,
2016-07-15,19550,19000,2000,M,
2016-07-18,26580,22500,1500,M,
2016-07-19,11210,16200,1000,M,
2016-07-20,14990,15500,1000,M,
2016-07-21,16020,16500,2000,M,
2016-07-22,16780,16500,1500,F,2016-04-12
2016-07-25,16960,18500,1000,F,
2016-07-26,17280,17500,500,F,
2016-07-27,21300,18000,1000,F,
2016-07-28,15510,16000,1500,M,
2016-07-29,16840,16000,2000,M,
2016-08-01,16320,16500,500,F,
2016-08-02,26760,22500,1500,M,
2016-08-03,11500,12500,2000,F,2016-05-12
2016-08-04,23380,19000,1500,F,2016-05-13
2016-08-05,10510,10000,1000,M,2016-04-21
2016-08-08,25450,21000,1500,F,
2016-08-10,16970,16000,500,M,2016-05-03
2016-08-11,14600,14500,1500,M,2016-05-11
2016-08-12,28250,21000,2000,F,2016-05-05
2016-08-15,13730,15000,1000,F,2016-06-24
2016-08-16,21360,14500,500,M,2016-06-23
2016-08-18,13540,15300,2000,F,2016-04-22
2016-08-19,10210,10000,1000,U,2016-05-26
2016-08-22,22630,18000,1500,M,2016-05-02
2016-08-24,14940,16500,500,F,2016-04-25
2016-08-25,15610,16000,2000,F,2016-05-18
2016-08-26,16690,16500,1000,M,2016-04-27
2016-08-29,23280,21500,1500,M,2016-04-06
2016-08-30,24880,23000,1000,M,2016-04-07
2016-08-31,15460,15500,500,F,2016-04-08
2016-09-01,9740,8000,2000,U,
2016-09-02,10820,12000,500,F,
2016-09-05,25570,23000,1500,M,
2016-09-07,22410,17500,500,F,
2016-09-08,23960,23000,2000,F,
2016-09-09,26770,21000,2000,M,
2016-09-12,10770,9500,500,F,
2016-09-14,18820,19500,1500,F,
2016-09-15,14870,14000,500,M,
2016-09-16,17300,15300,2000,M,2016-06-08
2016-09-19,16490,20000,1000,M,
2016-09-20,16840,16000,500,M,
2016-09-21,27480,23500,2000,M,
2016-09-22,10030,10000,1500,U,
2016-09-23,23090,17500,500,M,2016-07-08
2016-09-26,27470,21500,2000,M,
2016-09-28,17240,14700,1000,M,
2016-09-29,10700,12500,500,M,
2016-09-30,14640,14000,1500,M,
2016-10-03,26450,22000,2000,F,
2016-10-04,12090,11000,500,M,
2016-10-05,23810,22000,1500,M,
2016-10-06,16730,17000,1000,M,
2016-10-11,14990,13500,1500,F,
2016-10-12,9560,9500,2000,F,
2016-10-13,15660,17500,500,F,
2016-10-14,26010,22000,1500,M,
2016-10-17,9930,10000,2000,M,
2016-10-19,16660,15500,500,M,
2016-10-20,26480,22000,1500,F,
2016-10-21,19350,17500,1000,M,
2016-10-24,9200,10500,500,F,
2016-10-25,20570,16500,1000,M,
2016-10-26,17620,16000,1500,M,
2016-10-27,17880,17500,2000,M,2016-07-05
2016-10-28,16910,19000,1000,F,
2016-10-31,26580,23500,2000,M,
2016-11-02,20510,21500,1500,F,
2016-11-03,14350,13000,2000,F,
2016-11-04,18430,18500,1000,F,
2016-11-07,9980,10500,500,M,
2016-11-08,17950,19000,1500,M,
2016-11-09,21010,16500,2000,M,
2016-11-10,15930,17000,1000,M,
2016-11-11,9570,9500,1500,M,2016-06-15
2016-11-14,17880,16500,500,F,
2016-11-15,17120,19000,2000,F,
2016-11-16,17940,16000,1500,F,
2016-11-17,13160,12000,500,M,
2016-11-18,13730,15000,1000,F,2016-06-24
2016-11-21,26790,25500,1500,M,
2016-11-23,19520,20000,500,M,
